,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,necochea,-38.55,-58.74,12.22,73,0,1.79,AR,1599144760
139,guerrero negro,27.98,-114.06,22.88,75,7,5.42,MX,1599144938
140,richards bay,-28.78,32.04,21.87,68,0,1.75,ZA,1599144938
141,provideniya,64.38,-173.3,4.4,73,96,0.35,RU,1599144939
142,hasaki,35.73,140.83,26.59,88,75,4.6,JP,1599144939
143,tura,25.52,90.22,24.7,84,3,0.84,IN,1599144939
144,kasempa,-13.46,25.83,29.91,23,85,4.36,ZM,1599144940
145,zhanakorgan,43.91,67.25,26.91,21,0,1.36,KZ,1599144940
146,port hardy,50.7,-127.42,12,100,75,1,CA,1599144940
147,college,64.86,-147.8,5.88,87,75,2.1,US,1599144940
148,chepareria,1.31,35.2,19.91,75,22,0.98,KE,1599144941
149,viedma,-40.81,-63,15.56,50,100,0.89,AR,1599144941
150,san isidro,-12.12,-77.05,16,77,90,2.6,PE,1599144646
151,cabo san lucas,22.89,-109.91,25.77,83,5,4.01,MX,1599144698
152,ponta do sol,32.67,-17.1,21.96,83,25,2.68,PT,1599144942
153,opuwo,-18.06,13.84,33.17,14,9,3.11,NA,1599144942
154,castro,-24.79,-50.01,24.54,49,25,5.39,BR,1599144942
155,avarua,-21.21,-159.78,24,88,100,6.7,CK,1599144941
156,les cayes,18.2,-73.75,29.78,65,20,2.25,HT,1599144943
158,tautira,-17.73,-149.15,23.94,78,20,1,PF,1599144943
159,rawlins,41.79,-107.24,14,47,1,2.1,US,1599144944
160,nome,64.5,-165.41,4,93,75,2.1,US,1599144944
161,manzhouli,49.6,117.43,12.96,76,100,3.78,CN,1599144944
162,japura,-0.32,102.35,23.95,95,65,0.59,ID,1599144944
163,cayenne,4.93,-52.33,32,52,20,3.6,GF,1599144945
164,sechura,-5.56,-80.82,20.24,61,39,4.73,PE,1599144945
165,kamen-rybolov,44.75,132.04,21.3,75,85,12.96,RU,1599144945
166,terrace,54.52,-128.6,11,100,90,3.6,CA,1599144946
169,arraial do cabo,-22.97,-42.03,27,54,0,7.2,BR,1599144946
170,wanaka,-44.7,169.15,3.81,75,97,2.8,NZ,1599144947
171,bandarbeyla,9.49,50.81,25.1,79,17,12.87,SO,1599144947
173,struer,56.49,8.58,16.3,80,100,1.79,DK,1599144947
174,meulaboh,4.14,96.13,27.05,82,100,0.97,ID,1599144948
175,jawhar,2.78,45.5,26.35,57,26,8.55,SO,1599144948
176,lorengau,-2.02,147.27,27.86,76,75,2.95,PG,1599144948
177,luderitz,-26.65,15.16,17.89,37,0,1.91,NA,1599144949
178,san juan,-31.54,-68.54,17.13,29,0,2.54,AR,1599144949
179,idrinskoye,54.37,92.14,17.77,83,68,2.86,RU,1599144949
180,isoka,-10.16,32.63,24.3,37,21,3.58,ZM,1599144950
181,mount gambier,-37.83,140.77,7,93,40,3.6,AU,1599144950
182,qaqortoq,60.72,-46.03,11,37,40,1.5,GL,1599144950
183,grand-santi,4.25,-54.38,33.29,46,1,2.09,GF,1599144951
184,petropavlovsk-kamchatskiy,53.05,158.65,10,100,100,1,RU,1599144951
185,ewa beach,21.32,-158.01,23.67,78,1,2.1,US,1599144951
186,broome,42.25,-75.83,20.3,88,1,2.1,US,1599144951
187,tanda,26.55,82.65,29.04,74,23,2.18,IN,1599144952
189,changtu,42.78,124.1,15.1,95,100,6.22,CN,1599144952
191,san jose,37.34,-121.89,15.65,82,90,3.1,US,1599144806
192,acapulco,16.86,-99.89,28,83,75,1.24,MX,1599144437
193,airai,-8.93,125.41,14.5,83,90,1.54,TL,1599144953
194,shelburne,44.08,-80.2,21.27,60,20,4.1,CA,1599144953
195,serenje,-13.23,30.24,21.86,45,9,2.89,ZM,1599144954
196,lexington park,38.27,-76.45,29.27,70,20,2.1,US,1599144954
198,okato,-39.2,173.88,2.33,71,1,3.13,NZ,1599144954
199,westport,41.14,-73.36,25.65,54,1,4.6,US,1599144955
200,lavrentiya,65.58,-171,3.94,86,100,2.57,RU,1599144955
202,morristown,36.21,-83.29,26.63,78,75,5.7,US,1599144955
204,adre,13.47,22.2,27.73,55,100,0.85,TD,1599144956
205,ilulissat,69.22,-51.1,7,36,5,8.2,GL,1599144956
206,roma,43.21,-75.46,20.11,82,1,1.78,US,1599144845
207,kavieng,-2.57,150.8,27.99,77,79,2.19,PG,1599144957
208,hastings,50.86,0.57,18.72,90,100,3.58,GB,1599144957
209,saldanha,-33.01,17.94,21,60,93,4.6,ZA,1599144957
210,black diamond,47.31,-122,13.38,94,24,0.31,US,1599144958
211,chabahar,25.29,60.64,33,52,0,7.2,IR,1599144958
212,salinas,36.68,-121.66,14.91,87,90,0.75,US,1599144958
213,pacific grove,36.62,-121.92,13.67,93,0,1.34,US,1599144959
214,campana,-34.17,-58.96,12.22,30,99,2.68,AR,1599144959
215,xihe,31.69,113.47,22.27,53,2,0.66,CN,1599144959
216,san cristobal,7.77,-72.22,27,78,40,1,VE,1599144960
217,merano,46.67,11.16,22.74,47,20,1.5,IT,1599144960
218,el coyote,25.7,-103.27,22,78,90,2.6,MX,1599144960
219,youghal,51.95,-7.85,18.18,63,75,6.7,IE,1599144961
221,kattivakkam,13.22,80.32,29,79,75,3.6,IN,1599144961
222,jiwani,25.05,61.74,29.67,68,0,5.81,PK,1599144962
223,hithadhoo,-0.6,73.08,27.85,76,13,5.67,MV,1599144962
226,mahebourg,-20.41,57.7,22,78,75,7.2,MU,1599144675
227,kirksville,40.19,-92.58,23.23,88,1,3.6,US,1599144666
228,lagunas,-5.23,-75.68,31.46,53,38,1.41,PE,1599144963
229,am timan,11.03,20.28,26.96,83,96,2.46,TD,1599144964
230,businga,3.33,20.88,31.13,53,67,0.96,CD,1599144964
231,gifhorn,52.48,10.55,19.81,49,100,5.1,DE,1599144714
232,buala,-8.14,159.59,27.39,79,100,4.59,SB,1599144965
233,mar del plata,-38,-57.56,9.7,76,75,3.1,AR,1599144965
234,kudahuvadhoo,2.67,72.89,28.58,76,8,8.13,MV,1599144965
235,ribeira grande,38.52,-28.7,25,73,20,2.6,PT,1599144966
236,victor harbor,-35.57,138.62,11.11,87,92,4.57,AU,1599144966
237,balkanabat,39.51,54.37,31.16,13,1,2.31,TM,1599144966
238,dangriga,16.97,-88.23,29.6,74,40,3.1,BZ,1599144967
239,san andres,12.58,-81.7,30,74,40,2.1,CO,1599144918
240,saint anthony,45.02,-93.22,16.51,59,75,6.2,US,1599144967
241,muli,2.92,73.57,28.67,76,0,7.86,MV,1599144967
242,manokwari,-0.87,134.08,26.9,71,85,1.24,ID,1599144968
243,bengkulu,-3.8,102.27,25.46,89,99,3.32,ID,1599144968
244,constantine,36.37,6.61,26.53,41,44,4.53,DZ,1599144968
246,cap-aux-meules,47.38,-61.86,17,100,90,6.2,CA,1599144969
247,ishigaki,24.34,124.16,29.11,81,99,4.08,JP,1599144969
248,haines junction,60.75,-137.51,7.53,77,98,1.36,CA,1599144969
249,kaset sombun,16.28,101.95,26.21,77,0,1.11,TH,1599144969
250,esperance,-33.87,121.9,14,62,6,6.2,AU,1599144970
251,berbera,10.44,45.01,32.75,56,0,1.51,SO,1599144970
252,rio gallegos,-51.62,-69.22,4,69,40,3.1,AR,1599144970
253,touros,-5.2,-35.46,28,61,75,6.7,BR,1599144971
254,valencia,39.33,-0.83,28.52,55,0,5.81,ES,1599144900
255,las cruces,32.31,-106.78,23.93,22,1,2.46,US,1599144750
256,gewane,10.17,40.65,35.09,30,38,1.93,ET,1599144971
257,hofn,64.25,-15.21,9,76,90,4.1,IS,1599144971
258,sabang,5.89,95.32,28.74,74,100,5.02,ID,1599144972
259,narsaq,60.92,-46.05,11,37,40,1.5,GL,1599144972
260,lebu,-37.62,-73.65,9.37,87,90,1.95,CL,1599144972
261,palmer,42.16,-72.33,23.4,73,75,2.6,US,1599144973
262,clermont,49.5,2.42,23.66,60,90,5.1,FR,1599144691
263,pevek,69.7,170.31,1.3,90,52,2.36,RU,1599144973
265,hamilton,39.18,-84.53,22.64,94,90,1.11,US,1599144943
266,deputatskiy,69.3,139.9,-2.68,99,0,1.16,RU,1599144974
267,dongsheng,39.82,109.98,15.68,39,28,0.77,CN,1599144974
268,sinnamary,5.38,-52.95,29.14,75,13,5.31,GF,1599144975
269,coquimbo,-29.95,-71.34,13,76,20,2.1,CL,1599144975
270,sweetwater,25.76,-80.37,31.93,66,40,5.7,US,1599144975
271,zhangjiakou,40.81,114.88,14.99,51,0,2.84,CN,1599144976
273,margate,51.38,1.39,20.39,80,94,3.13,GB,1599144976
274,marzuq,14.4,46.47,31.81,15,35,5.25,YE,1599144976
275,isla mujeres,21.23,-86.73,29.74,79,75,5.1,MX,1599144977
276,davila,18.47,120.58,27.94,82,100,2.66,PH,1599144977
277,tasiilaq,65.61,-37.64,6,60,20,2.1,GL,1599144977
278,vestmanna,62.16,-7.17,12,87,46,6.2,FO,1599144975
279,nanortalik,60.14,-45.24,8.51,58,100,3.07,GL,1599144978
280,mapiri,-15.25,-68.17,31.4,34,31,0.22,BO,1599144978
281,xuddur,4.12,43.89,30.71,27,31,7.34,SO,1599144978
282,biltine,14.53,20.92,29.83,48,97,0.67,TD,1599144979
283,ferkessedougou,9.6,-5.2,25.72,86,90,4.54,CI,1599144979
284,brainerd,46.36,-94.2,13.76,67,90,6.7,US,1599144701
285,kaihua,23.37,104.28,19.49,87,73,1.5,CN,1599144980
286,catalina,32.51,-110.92,26.72,54,0,0.91,US,1599144980
287,ahuimanu,21.44,-157.84,24.68,65,20,2.6,US,1599144980
288,chokurdakh,70.63,147.92,3.8,75,96,2.84,RU,1599144957
289,samarai,-10.62,150.67,25.42,87,99,8.48,PG,1599144981
290,dikson,73.51,80.55,4.83,88,12,5.58,RU,1599144939
291,saurimo,-9.66,20.39,33,31,20,3.6,AO,1599144981
292,tual,-5.67,132.75,26.65,85,74,8.88,ID,1599144982
293,lucea,18.45,-78.17,30.58,74,20,7.2,JM,1599144982
294,katsuura,35.13,140.3,27.59,88,88,5.52,JP,1599144979
295,saint-augustin,51.23,-58.65,14.83,93,100,10.24,CA,1599144983
296,souillac,-20.52,57.52,22,78,75,7.2,MU,1599144977
297,juan lacaze,-34.43,-57.44,9.71,81,75,4.6,UY,1599144983
298,mount isa,-20.73,139.5,16,31,0,2.46,AU,1599144983
300,fortuna,40.6,-124.16,13.12,93,90,0.38,US,1599144984
301,ormara,25.21,64.64,27.42,83,6,3.64,PK,1599144984
302,dingle,11,122.67,25.49,83,80,0.69,PH,1599144984
303,rabaul,-4.2,152.17,26.65,80,62,2.52,PG,1599144985
304,brae,60.4,-1.35,13,93,75,7.2,GB,1599144985
305,shache,38.42,77.24,23.19,36,41,10.86,CN,1599144985
307,baykit,61.67,96.37,11.52,86,100,2.4,RU,1599144986
308,sitio novo do tocantins,-5.52,-47.46,33,38,66,5.1,BR,1599144986
309,meadow lake,34.8,-106.54,19.84,32,1,3.1,US,1599144986
311,azua,18.45,-70.73,29,79,40,3.1,DO,1599144987
312,jumla,29.27,82.18,16.22,71,72,0.57,NP,1599144987
313,vanavara,60.34,102.28,10.87,89,99,2.38,RU,1599144988
315,sakhon nakhon,17.16,104.15,26.93,78,30,1.51,TH,1599144988
316,baft,29.23,56.61,23.68,17,0,4.83,IR,1599144989
317,wanning,18.8,110.4,27.61,76,64,1.4,CN,1599144989
319,praia,14.92,-23.51,31,58,40,6.7,CV,1599144925
320,itarema,-2.92,-39.92,30.97,46,72,7.97,BR,1599144990
322,mehamn,71.04,27.85,17,55,74,8.7,NO,1599144990
325,fairbanks,64.84,-147.72,5.55,100,90,1.02,US,1599144978
326,longyearbyen,78.22,15.64,6,93,75,1.5,SJ,1599144991
327,tuatapere,-46.13,167.68,7.22,72,100,4.92,NZ,1599144992
328,ucluelet,48.93,-125.55,11.79,100,75,0.48,CA,1599144729
329,dali,25.7,100.18,17.95,79,100,1.43,CN,1599144993
330,aswan,24.09,32.91,41.51,7,0,2.95,EG,1599144847
332,geraldton,-28.77,114.6,10,93,100,2.39,AU,1599144993
333,byron bay,-28.65,153.62,18.37,72,0,4.6,AU,1599144994
334,torbay,47.67,-52.73,18.2,63,75,9.8,CA,1599144994
335,rexburg,43.83,-111.79,12.3,76,1,1.5,US,1599144994
336,puerto madryn,-42.77,-65.04,13.34,39,100,4.29,AR,1599144895
337,mumbwa,-14.98,27.06,27.92,25,82,4.88,ZM,1599144995
338,minsk,53.9,27.57,21,56,20,1,BY,1599144880
339,talnakh,69.49,88.4,8,81,78,12,RU,1599144996
340,svetlyy,54.67,20.13,16.83,82,75,4,RU,1599144996
341,santiago del estero,-27.8,-64.26,19.49,42,0,4.25,AR,1599144996
342,havre-saint-pierre,50.23,-63.6,13,100,90,6.7,CA,1599144997
343,lakes entrance,-37.88,147.98,12.78,53,67,4.38,AU,1599144997
345,port blair,11.67,92.75,28.67,74,100,1.98,IN,1599144998
346,puerto escondido,15.85,-97.07,24,78,75,2.6,MX,1599144998
347,malinyi,-8.93,36.13,29.22,37,70,1.61,TZ,1599144999
348,kabare,-2.47,28.82,25.4,33,1,1.47,CD,1599144999
349,korla,41.76,86.15,27.96,19,86,1.04,CN,1599145000
350,whitehorse,60.72,-135.05,7.47,70,75,7.2,CA,1599145000
351,dicabisagan,17.08,122.42,26.89,85,100,1.68,PH,1599145000
352,izhma,65.01,53.91,10.89,70,99,1.45,RU,1599145000
355,yatou,37.15,122.38,17.43,83,17,2.67,CN,1599145002
357,vilhena,-12.74,-60.15,29,39,0,5.1,BR,1599145002
358,lumphat,13.49,106.98,25.01,94,92,0.5,KH,1599145003
359,ilebo,-4.32,20.58,31.33,46,82,1.01,CD,1599145003
360,kaitangata,-46.28,169.85,3.89,86,83,0.45,NZ,1599145004
361,aksu,41.12,80.26,27.83,22,100,4.1,CN,1599145004
362,padang,-0.95,100.35,25.07,84,100,0.43,ID,1599145004
363,klaksvik,62.23,-6.59,12,87,69,6.2,FO,1599145005
364,freeport,40.66,-73.58,26.36,47,1,3.6,US,1599144857
365,key largo,25.09,-80.45,30.34,1,98,4.47,US,1599145005
366,maltahohe,-24.83,16.98,28.73,13,0,10.51,NA,1599145006
367,zabid,14.2,43.32,36.21,34,50,3.84,YE,1599145008
368,flin flon,54.77,-101.86,9,70,75,5.1,CA,1599145009
369,ripoll,42.2,2.19,24.54,53,0,0.45,ES,1599145010
370,buchanan,5.88,-10.05,28,83,75,5.1,LR,1599145011
371,egvekinot,66.32,-179.17,1.86,85,98,1.32,RU,1599145011
372,teguldet,57.31,88.17,15.57,96,58,2.88,RU,1599145012
373,banda aceh,5.56,95.32,27.76,74,95,3.13,ID,1599145012
374,juneau,58.3,-134.42,11.31,87,90,5.1,US,1599145013
375,hervey bay,-25.3,152.85,17.78,83,0,0.45,AU,1599144948
376,vila velha,-20.33,-40.29,26.88,61,40,3.6,BR,1599145014
377,san jacinto,33.78,-116.96,19.21,74,0,0.41,US,1599145014
378,nouadhibou,20.93,-17.03,33,59,24,5.1,MR,1599145014
379,ambon,-3.7,128.18,24,100,40,1.5,ID,1599145015
380,traralgon,-38.18,146.53,11.22,55,31,1.79,AU,1599145015
381,leiyang,26.4,112.86,25.85,59,26,0.78,CN,1599145015
382,hambantota,6.12,81.12,28,83,40,2.1,LK,1599145016
383,salinopolis,-0.61,-47.36,28.88,71,95,5.2,BR,1599145016
384,bubaque,11.28,-15.83,26.26,82,43,10.21,GW,1599145016
385,beringovskiy,63.05,179.32,7.04,80,56,3.24,RU,1599144962
386,xam nua,20.42,104.04,20.79,88,66,0.89,LA,1599145017
387,jalu,29.03,21.55,40.08,10,0,5.86,LY,1599145017
388,balkhash,46.84,74.98,25.4,37,49,8.07,KZ,1599145017
389,codrington,-38.27,141.97,7.26,90,1,5.01,AU,1599145018
390,cockburn town,21.46,-71.14,30,70,40,6.2,TC,1599145018
391,lacolle,45.08,-73.37,20.16,100,83,0.45,CA,1599145018
392,tiznit,29.58,-9.5,27.1,43,0,3.61,MA,1599145019
394,santa maria,-29.68,-53.81,12,81,75,4.1,BR,1599144777
395,cacheu,12.27,-16.17,26,100,90,2.1,GW,1599145019
396,borgarnes,64.54,-21.92,8.29,76,75,10.3,IS,1599145020
397,ondjiva,-17.07,15.73,32,24,40,4.1,AO,1599145020
398,ashland,40.82,-82.27,22.2,78,1,3.6,US,1599145005
399,waw,7.7,28,24.96,84,76,1.42,SS,1599145020
400,novomykolayivka,47.98,35.91,34,24,34,4,UA,1599145021
401,maceio,-9.67,-35.74,26,69,90,4.1,BR,1599144957
402,riyadh,24.69,46.72,39,12,0,2.6,SA,1599144923
403,tavrichanka,43.34,131.86,22,73,75,12,RU,1599145022
404,tocopilla,-22.09,-70.2,18.04,49,15,3.96,CL,1599145022
405,kuna,43.49,-116.42,16.21,72,1,1.7,US,1599145022
406,drochia,48.03,27.82,22.07,66,100,7.54,MD,1599145022
407,marawi,8,124.29,26.11,91,100,1.34,PH,1599145023
408,antalaha,-14.9,50.28,23.17,69,27,6.51,MG,1599145023
409,taoudenni,22.68,-3.98,45.34,11,31,6.69,ML,1599145023
410,sibolga,1.74,98.78,25.99,82,99,1.59,ID,1599145024
411,hobyo,5.35,48.53,25.13,77,99,13.26,SO,1599145024
412,tonj,7.27,28.68,24.95,89,91,2.03,SS,1599145024
413,louga,58.74,29.85,19.46,80,100,2.9,RU,1599145025
414,kaniama,-7.57,24.18,32.07,24,0,2.3,CD,1599145025
415,bryan,30.67,-96.37,28.04,88,90,3.1,US,1599144752
416,itupiranga,-5.13,-49.33,35,32,6,5.1,BR,1599144844
417,naze,28.37,129.48,27,94,100,1,JP,1599145026
418,alampur,15.88,78.15,27.94,76,50,2.88,IN,1599145026
419,bima,-8.47,118.72,24.18,87,4,1.74,ID,1599145026
420,srandakan,-7.94,110.25,25.05,86,99,3.93,ID,1599145027
421,tokur,53.13,132.9,11.85,96,100,3.23,RU,1599145027
422,bonavista,48.65,-53.11,17.78,76,71,2.24,CA,1599145028
423,mabaruma,8.2,-59.78,30.65,69,82,0.79,GY,1599145028
424,quatre cocos,-20.21,57.76,21.83,78,75,7.2,MU,1599144904
425,znamenskoye,57.13,73.83,6.69,86,11,4.25,RU,1599145029
426,boden,65.83,21.69,15,82,75,4.1,SE,1599145029
427,bilma,18.69,12.92,39.1,20,49,2.25,NE,1599145029
428,kapit,2.02,112.93,24.55,93,100,1.07,MY,1599145029
429,kpandu,7,0.29,28.78,67,52,3.93,GH,1599145030
430,riom,45.92,2.92,25,27,0,2.1,FR,1599145030
431,wencheng,33.06,113.8,22.85,48,0,3.19,CN,1599145030
432,lantawan,10.62,123.98,28,78,20,1.5,PH,1599145031
433,turan,16.07,108.22,30,74,20,2.1,VN,1599145031
434,griffith,41.53,-87.42,25.24,53,1,5.1,US,1599145031
